question,meaning
чувство слабости и сонливости после еды,инсулинорезистентность
"тошнота, тяжесть в желудке, отхождение воздуха после приема пищи",пониженная кислотность желудка
неприятный запах из рта,пониженная кислотность желудка
сухость во рту,инсулинорезистентность
"вздутие, бурление в животе",Синдром избыточного бактериального роста
"сильным чувством голода, слабостью, головокружением, чувством дурноты, потливостью, дрожью в коленях",инсулинорезистентность
следы от зубов по бокам языка,гипотиреоз
"отеки на лице по утрам, в целом отечное лицо",гипотиреоз
отсутствие полноценного потоотделения в бане и при физической нагрузке,гипотиреоз
"есть жировые отложения, свисающие выше ремня или пояса брюк, юбок",инсулинорезистентность
особенная тяга к соленой пище,"пониженная кислотность желудка
истощение надпочечников"
"лишний вес уходит с трудом, даже если предпринимаются ограничения в питании и активная физическая нагрузка",гипотиреоз
чувство неполного опорожнения кишечника и/или Запоры,"обезвоживание, дефицит магния, дефицит клетчатки, нарушение работы со стороны желч пузыря, гипотиреоз"
Есть ли у вас С утра чувство разбитости,истощение надпочечников
"на языке периодически появляются язвочки, трещины",проблемы с жкт и усвоением витаминов гр В
"трещины или облезание кожи с кончиков пальцев, трещины на пятках","дефициты гр В, А,Е"
"ногтевая пластинка не ровная, белые пятна, ногти слоятся",дефициты
"белые пятна, полоски –",дефицит цинка и белка
слоящ ногти –,"деф-т железа, кальция, белка"
"снижение памяти, концентрации, внимания –","гипоксия, нарушение циркуляции крови, истощение надпочечников"
"рассеянность, невозможность вспомнить деталь, особенно если ждут ответа",– истощение надпочечников
"повышенная раздражительность, « вскипаете на ровном месте» -",истощение надпочечников
"вы чувствуете внутреннюю торопливость, хотите быстрее переходить от одного дела к другому –",истощение надпочечников